"Date","Leaders","Place","Participating Officials","Officials Rank","Description","Resources"
"1953/11/10 - 1953/11/27","Mao Zedong/Kim Il-sung","China","Kim Il-sung (金日成) and Mao Zedong (毛泽东)","Premier (朝鲜民主主义人民共和国内阁首相) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Summit Meeting: Official visit, the Sino-North Korean Economic and Cultural Cooperation Agreement was signed","http://www.ziliaoku.org/rmrb/1953-11-24-1#103598"
"1954/09/28 - 1954/10/05","Mao Zedong/Kim Il-sung","China","Kim Il-sung (金日成) and Mao Zedong (毛泽东)","Premier (朝鲜民主主义人民共和国内阁首相) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Summit Meeting: Goodwill visit, 5th anniversary of the founding of the People's Republic of China","http://www.ziliaoku.org/rmrb/1954-09-29-1#115176"
"1958/02/14 - 1958/02/21","Mao Zedong/Kim Il-sung","North Korea","Zhou Enlai (周恩来) and Kim Il-sung (金日成)","Premier (中华人民共和国国务院总理) and Premier (朝鲜民主主义人民共和国内阁首相)","Summit Meeting: Goodwill visit","http://www.ziliaoku.org/rmrb/1958-02-15-1#187581"
"1958/11/21 - 1958/11/28","Mao Zedong/Kim Il-sung","China","Kim Il-sung (金日成) and Mao Zedong (毛泽东)","Premier (朝鲜民主主义人民共和国内阁首相) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Summit Meeting: Goodwill visit","http://www.ziliaoku.org/rmrb/1958-11-23-1#209929"
"1959/09/25 - 1959/10/03","Mao Zedong/Kim Il-sung","China","Kim Il-sung (金日成) and Mao Zedong (毛泽东)","Premier (朝鲜民主主义人民共和国内阁首相) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Summit Meeting: Goodwill visit, 10th anniversary of the founding of the People's Republic of China","http://www.ziliaoku.org/rmrb/1959-09-26-2#230361"
"1961/07/10 - 1961/07/15","Mao Zedong/Kim Il-sung","China","Kim Il-sung (金日成) and Mao Zedong (毛泽东)","Premier (朝鲜民主主义人民共和国内阁首相) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Summit Meeting: Goodwill visit, signed the Sino-North Korean Mutual Aid and Cooperation Friendship Treaty","http://www.ziliaoku.org/rmrb/1961-07-11-1#272829"
"1962/06/17","Mao Zedong/Kim Il-sung","China","Pak Gum-chol (朴金喆) and Zhu De (朱德)","Member of the Presidium of the Supreme People's Assembly (朝鲜最高人民会议常任委员会委员) and Vice Chairman of Communist Party of China (中国共产党中央委员会副主席)","Goodwill Visit: Supreme People's Assembly delegation","http://www.ziliaoku.org/rmrb/1962-06-17-1#292140"
"1963/06/05 - 1963/06/17","Mao Zedong/Kim Il-sung","China","Choe Yong-gon (崔庸健) and Mao Zedong (毛泽东)","Chairman of the Standing Committee of the Supreme People's Assembly (朝鲜民主主义人民共和国最高人民会议常任委员会委员长) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Goodwill Visit (official)","http://www.ziliaoku.org/rmrb/1963-06-16-1#308729"
"1963/09/15 - 1963/09/27","Mao Zedong/Kim Il-sung","North Korea","Liu Shaoqi (刘少奇) and Kim Il-sung (金日成)","Chairman of Communist Party of China (中华人民共和国主席) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","State Visit: Goodwill visit","http://www.ziliaoku.org/rmrb/1963-09-15-1#312396"
"1964/05/11 - 1964/05/14","Mao Zedong/Kim Il-sung","China","Choe Won-teak (崔元泽) and Zhu De (朱德)","Chairman of the Supreme People's Assembly (朝鲜人民共和国最高人民会议议长) and Chairman of the Standing Committee of the National People's Congress (中华人民共和国全国人民代表大会常务委员会委员长)","Goodwill Visit: National People's Congress invitation","http://www.ziliaoku.org/rmrb/1964-05-12-1#322864"
"1964/09/30 - 1964/10/09","Mao Zedong/Kim Il-sung","China","Choe Yong-gon (崔庸健) and Mao Zedong (毛泽东)","Chairman of the Standing Committee of the Supreme People's Assembly (朝鲜民主主义人民共和国最高人民会议常任委员会委员长) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Anniversary Visit: 15th anniversary of the founding of the People's Republic of China","http://www.ziliaoku.org/rmrb/1964-09-30-1#329763"
"1965/06/28 - 1965/07/10","Mao Zedong/Kim Il-sung","China","Kang Ryang-uk (康良煜) and Liu Shaoqi (刘少奇)","Vice President of Presidium of the Supreme People's Assembly (朝鲜最高人民会议常任委员会副委员长) and Chairman of the People's Republic of China (中华人民共和国主席)","Goodwill Visit: Supreme People's Assembly delegation","http://www.ziliaoku.org/rmrb/1965-06-29-1#342399"
"1969/09/30 - 1969/09/31","Mao Zedong/Kim Il-sung","China","Choe Yong-gon (崔庸健) and Mao Zedong (毛泽东)","Chairman of the Standing Committee of the Supreme People's Assembly (朝鲜民主主义人民共和国最高人民会议常任委员会委员长) and Chairman of Communist Party of China (中共中央主席)","Anniversary Visit (official): 20th anniversary of the founding of the People's Republic of China","http://www.ziliaoku.org/rmrb/1969-10-01-5#389809"
"1970/04/05 - 1970/04/07","Mao Zedong/Kim Il-sung","North Korea","Zhou Enlai (周恩来) and Kim Il-sung (金日成)","Premier (中华人民共和国国务院总理) and Prime Minister (朝鲜民主主义人民共和国内阁首相)","Summit Meeting: Official goodwill visit","http://www.ziliaoku.org/rmrb/1970-04-06-1#395609"
"1970/06/24 - 1970/06/30","Mao Zedong/Kim Il-sung","China","Pak Song-chol (朴成哲) and Zhou Enlai (周恩来)","Member of the Political Bureau of the Central Committee of the Workers' Party of Korea (朝鲜劳动党中央委员会政治委员会常务委员会委员) and Premier (中华人民共和国国务院总理)","Anniversary Visit: 20th anniversary of the Korean War","http://www.ziliaoku.org/rmrb/1970-06-25-3#397809"
"1972/12/22 - 1972/12/25","Mao Zedong/Kim Il-sung","North Korea","Ji Pengfei (姬鹏飞) and Ho Dam (许锬)","Minister of Foreign Affairs (中华人民共和国外交部长) and Minister of Foreign Affairs (朝鲜民主主义人民共和国外交部长)","Goodwill Visit: Ministry of Foreign Affairs invitation","http://www.ziliaoku.org/rmrb/1972-12-23-1#429438"
"1973/02/09 - 1973/02/14","Mao Zedong/Kim Il-sung","China","Ho Dam (许锬) and Zhou Enlai (周恩来)","Minister of Foreign Affairs (朝鲜民主主义人民共和国外交部长) and Premier (中华人民共和国国务院总理)","Goodwill Visit (official): Ministry of Foreign Affairs invitation","http://www.ziliaoku.org/rmrb/1973-02-12-3#431495"
"1973/09/08 - 1973/09/20","Mao Zedong/Kim Il-sung","North Korea","Li Desheng (李德生) and Kim Il-sung (金日成)","Vice Chairman of Communist Party of China (中国共产党中央委员会副主席) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Anniversary Visit: 25th anniversary of the founding of the Democratic People's Republic of Korea","http://www.ziliaoku.org/rmrb/1973-09-09-1#440205"
"1974/06/09","Mao Zedong/Kim Il-sung","China","Ho Dam (许锬) and Deng Xiaoping (邓小平)","Minister of Foreign Affairs (朝鲜民主主义人民共和国外交部长) and Vice Premier (中华人民共和国国务院副总理)","Goodwill Visit: Ministry of Foreign Affairs invitation","http://www.ziliaoku.org/rmrb/1974-06-09-1#450330"
"1975/04/18 - 1975/04/26","Mao Zedong/Kim Il-sung","China","Kim Il-sung (金日成) and Mao Zedong (毛泽东)","General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记) and Chairman of Communist Party of China (中共中央主席)","Summit Meeting: Goodwill visit","http://www.ziliaoku.org/rmrb/1975-04-18-1#461822"
"1975/09/24 - 1975/09/27","Mao Zedong/Kim Il-sung","North Korea","Zhang Chunqiao (张春桥) and Kim Il-sung (金日成)","Member of the Politburo Standing Committee of Communist Party of China (中国共产党中央政治局常务委员会委员) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Goodwill Visit: Communist Party of China delegation","http://www.ziliaoku.org/rmrb/1975-09-25-1#467601"
"1975/12/19","Mao Zedong/Kim Il-sung","China","Kim Hwan (金涣) and Zhang Chunqiao (张春桥)","Member of Central Committee of the Workers' Party of Korea (朝鲜劳动党中央委员会委员) and Member of the Politburo Standing Committee of the Communist Party of China (中国共产党中央政治局常务委员会委员)","Goodwill Visit: Central Committee of the Workers' Party of Korea delegation","http://www.ziliaoku.org/rmrb/1975-12-19-4#470823"
"1978/05/05 - 1978/05/10","Deng Xiaoping/Kim Il-sung","North Korea","Hua Guofeng (华国锋) and Kim Il-sung (金日成)","Chairman of Communist Party of China (中共中央主席) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","State Visit: Official goodwill visit","http://www.ziliaoku.org/rmrb/1978-05-05-1#501439"
"1978/09/08 - 1978/09/13","Deng Xiaoping/Kim Il-sung","North Korea","Deng Xiaoping (邓小平) and Kim Il-sung (金日成)","Vice Chairman of the Communist Party of China (中共中央副主席) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Summit Meeting: 30th anniversary of the founding of the Democratic People's Republic of Korea","http://www.ziliaoku.org/rmrb/1978-09-09-1#506016"
"1979/05/27 - 1979/06/02","Deng Xiaoping/Kim Il-sung","North Korea","Deng Yingchao (邓颖超) and Kim Il-sung (金日成)","Member of Central Politburo of Communist Party of China (中国共产党中央政治局委员) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Goodwill Visit: Formal invitation from Kim Il-sung","http://www.ziliaoku.org/rmrb/1979-05-27-1#516990"
"1979/07/17 - 1979/07/18","Deng Xiaoping/Kim Il-sung","China","Kim Hwan (金涣) and Li Xiannian (李先念)","Member of Central Committee of the Workers' Party of Korea (朝鲜劳动党中央委员会委员) and Vice Chairman of the Communist Party of China (中共中央副主席)","Goodwill Visit: Workers' Party of Korea delegation","http://www.ziliaoku.org/rmrb/1979-07-19-1#519310"
"1980/10/10 - 1980/10/16","Deng Xiaoping/Kim Il-sung","North Korea","Li Xiannian (李先念) and Kim Il-sung (金日成)","Vice Chairman of the Communist Party of China (中国共产党中央委员会副主席) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Goodwill Visit: Attended 6th Congress of Workers' Party of Korea","http://www.ziliaoku.org/rmrb/1980-10-10-1#549602"
"1980/11/11","Deng Xiaoping/Kim Il-sung","China","So Chol (徐哲) and Li Xiannian (李先念)","Member of Politburo of Workers' Party of Korea (朝鲜劳动党中央政治局委员) and Vice Chairman of the Communist Party of China (中国共产党中央委员会副主席)","Goodwill Visit: Workers' Party of Korea delegation","http://www.ziliaoku.org/rmrb/1980-11-12-1#552319"
"1981/01/10 - 1981/01/14","Deng Xiaoping/Kim Il-sung","China","Ri Jong-ok (李钟玉) and Zhao Ziyang (赵紫阳)","Premier (朝鲜民主主义人民共和国政务院总理) and Premier (中华人民共和国國務院總理)","Goodwill Visit: Official visit, formal party invitation.","http://www.ziliaoku.org/rmrb/1981-01-11-1#557030"
"1981/11/27 - 1981/11/28","Deng Xiaoping/Kim Il-sung","China","Kim Yong-nam (金永南) and Hu Yaobang (胡耀邦)","Member of Politburo of Workers' Party of Korea (朝鲜劳动党中央政治局委员) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Goodwill Visit: Workers' Party of Korea delegation","http://www.ziliaoku.org/rmrb/1981-11-28-1#582663"
"1981/12/20 - 1981/12/24","Deng Xiaoping/Kim Il-sung","North Korea","Zhao Ziyang (赵紫阳) and Kim Il-sung (金日成)","Vice Chairman of the Communist Party of China (中国共产党中央委员会副主席) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Goodwill Visit: Communist Party of China and government delegation","http://www.ziliaoku.org/rmrb/1981-12-23-1#584720"
"1982/04/26 - 1982/04/30","Deng Xiaoping/Kim Il-sung","North Korea","Hu Yaobang and Deng Xiaoping (胡耀邦、邓小平) and Kim Il-sung (金日成)","Chairman and Vice Chairman of the Communist Party of China (中国共产党中央委员会主席、副主席) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Summit Meeting: Unofficial Visit","http://www.upi.com/Archives/1982/09/17/Top-Chinese-leaders-Deng-Xiaoping-and-Hu-Yaobang-made/9742401083200/"
"1982/05/11 - 1982/05/13","Deng Xiaoping/Kim Il-sung","China","Heo Jong-suk (许贞淑) and Ye Jianying (叶剑英)","Secretary of Central Committee of the Workers' Party of Korea (朝鲜劳动党中央书记) and Vice Chairman of Communist Party of China (中国共产党中央委员会副主席)","Goodwill Visit: Supreme People's Assembly delegation","http://www.ziliaoku.org/rmrb/1982-05-12-1#596065"
"1982/09/16 - 1982/09/25","Deng Xiaoping/Kim Il-sung","China","Kim Il-sung (金日成) and Hu Yaobang (胡耀邦)","President (朝鲜民主主义人民共和國主席) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Summit Meeting: Official visit","http://www.ziliaoku.org/rmrb/1982-09-16-1#606301"
"1982/10/26 - 1982/10/29","Deng Xiaoping/Kim Il-sung","North Korea","Chen Muhua (陈慕华) and Kim Il-sung (金日成)","State Councilor and Minister of Trade (国务委员兼对外经济贸易部部长) and President (朝鲜民主主义人民共和國主席)","Goodwill Visit: Signed the 1982-1986 Sino-North Korea long-term trade agreement","http://www.ziliaoku.org/rmrb/1982-10-29-6#609676"
"1982/12/27","Deng Xiaoping/Kim Il-sung","China","Choe Jeong-geun (崔鼎根) and Chen Muhua (陈慕华)","Minister of Trade (朝鲜贸易部部长) and State Councilor and Minister of Trade (国务委员兼对外经济贸易部部长)","Goodwill Visit: Signed the 1983 Agreement on Mutual Supply of Goods between China and the DPRK","http://www.ziliaoku.org/rmrb/1982-12-27-4#614036"
"1983/05/01 - 1983/05/02","Deng Xiaoping/Kim Il-sung","China","Ri Kun-mo (李根模) and Hu Yaobang (胡耀邦)","Member of Politburo of Workers' Party of Korea (朝鲜劳动党中央政治局委员) and General Secretary of Communist Party of China (中国共产党中央委员会总书记)","Goodwill Visit: Workers' Party of Korea delegation","http://www.ziliaoku.org/rmrb/1983-05-02-1#625100"
"1983/05/20 - 1983/05/25","Deng Xiaoping/Kim Il-sung","North Korea","Wu Xueqian (吴学谦) and Kim Il-sung (金日成)","Minister of Foreign Affairs (中华人民共和国外交部长) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Goodwill Visit: Ministry of Foreign Affairs invitation","http://www.ziliaoku.org/rmrb/1983-05-24-6#627151  E"
"1983/06/02 - 1983/06/12","Deng Xiaoping/Kim Il-sung","China","Kim Jong-il (金正日) and Deng Xiaoping (邓小平)","Secretary of Central Committee of the Workers' Party of Korea (朝鲜劳动党中央委员会书记) and Chairman of Central Advisory Commission (中国共产党中央顾问委员会主任)","Goodwill visit: Unofficial Visit, 1st visit to China since announced as the successor","http://kp.china-embassy.org/chn/zcgx/gchf/08sbgx/t464213.htm"
"1983/07/06 - 1983/07/07","Deng Xiaoping/Kim Il-sung","China","Yang Hyong-sop (杨亨燮) and Hu Yaobang (胡耀邦)","President of the Presidium of the Supreme People's Assembly (朝鲜最高人民会议议长) and General Secretary of Communist Party of China (中国共产党中央委员会总书记)","Goodwill Visit: Supreme People's Assembly delegation","http://www.ziliaoku.org/rmrb/1983-07-08-1#630593"
"1983/09/07 - 1983/09/15","Deng Xiaoping/Kim Il-sung","North Korea","Peng Zhen (彭真) and Kim Il-sung (金日成)","Member of Central Politburo of Communist Party of China (中国共产党中央政治局委员) and President (朝鲜民主主义人民共和國主席)","Anniversary Visit: 35th anniversary of the founding of the Democratic People's Republic of Korea","http://www.ziliaoku.org/rmrb/1983-09-18-6#637275"
"1983/11/20","Deng Xiaoping/Kim Il-sung","China","An Sung Hak (安承鹤) and Hu Yaobang (胡耀邦)","Secretary of the Workers' Party of Korea (朝鲜劳动党中央书记) and General Secretary of Communist Party of China (中国共产党中央委员会总书记)","Goodwill Visit: Workers' Party of Korea delegation","http://www.ziliaoku.org/rmrb/1983-11-21-1#643148"
"1984/02/07 - 1984/02/14","Deng Xiaoping/Kim Il-sung","China","Kim Yong-nam (金永南) and Hu Yaobang (胡耀邦)","Member of Politburo of Workers' Party of Korea (朝鲜劳动党中央政治局委员) and General Secretary of Communist Party of China (中国共产党中央委员会总书记)","Goodwill Visit: Official visit, conveyed Kim Il-sung's invitation to Hu Yaobang to visit North Korea","http://www.ziliaoku.org/rmrb/1984-02-15-1#649980"
"1984/05/04 - 1984/05/11","Deng Xiaoping/Kim Il-sung","North Korea","Hu Yaobang (胡耀邦) and Kim Il-sung (金日成)","General Secretary of Communist Party of China (中国共产党中央委员会总书记) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","State Visit: Official friendly visit","http://www.ziliaoku.org/rmrb/1984-05-04-1#656908"
"1984/08/05 - 1984/08/10","Deng Xiaoping/Kim Il-sung","China","Kang Song-san (姜成山) and Zhao Ziyang (赵紫阳)","Premier (朝鲜民主主义人民共和国政務院总理) and Premier (中华人民共和国国务院总理)","State Visit: Official visit","http://www.ziliaoku.org/rmrb/1984-08-06-1#665302"
"1984/11/26 - 1984/11/28","Deng Xiaoping/Kim Il-sung","China","Kim Il-sung (金日成) and Deng Xiaoping (邓小平)","President (朝鲜民主主义人民共和國主席) and Chairman of Central Advisory Commission (中国共产党中央顾问委员会主任)","Summit Meeting: Unofficial visit",""
"1984/12/31","Deng Xiaoping/Kim Il-sung","China","Kim Yong-nam (金永南) and Wu Xueqian (吴学谦)","Vice Premier and Minister of Foreign Affairs (朝鲜民主主义人民共和国政务院副总理兼外长) and State Councilor and Minister of Foreign Affairs (国务委员兼外交部长)","Goodwill Visit","http://www.ziliaoku.org/rmrb/1985-01-01-2#679168"
"1985/01/15","Deng Xiaoping/Kim Il-sung","China","Kong Jin Tae (孔镇泰) and Zhao Ziyang (赵紫阳)","Vice Premier (朝鲜民主主义人民共和国政务院副总理) and Premier (中华人民共和国国务院总理)","Goodwill Visit: North Korean trade delegation","http://www.ziliaoku.org/rmrb/1985-01-16-1#680569"
"1985/04/19 - 1985/04/24","Deng Xiaoping/Kim Il-sung","North Korea","Qian Liren (钱李仁) and Kim Il-sung (金日成)","Head of International Liaison Department of the Communist Party of China (中共中央对外联络部部长) and President (朝鲜民主主义人民共和國主席)","Goodwill Visit","http://www.ziliaoku.org/rmrb/1985-04-21-6#689930"
"1985/05/04 - 1985/05/06","Deng Xiaoping/Kim Il-sung","North Korea","Hu Yaobang 胡耀邦 and Kim Il-sung (金日成)","General Secretary of Communist Party of China (中国共产党中央委员会总书记) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","State Visit: Unofficial visit","http://phtv.ifeng.com/hotspot/zhongchao60nian/200911/1106_8594_1424373.shtml"
"1986/10/03 - 1986/10/06","Deng Xiaoping/Kim Il-sung","North Korea","Li Xiannian (李先念) and Kim Il-sung (金日成)","President (中华人民共和国主席) and President (朝鲜民主主义人民共和國主席)","State Visit: Friendly visit","http://www.ziliaoku.org/rmrb/1986-10-04-1#740371"
"1987/03/09 - 1987/03/10","Deng Xiaoping/Kim Il-sung","North Korea","Zhu Liang (朱良) and Kim Il-sung (金日成)","Head of International Liaison Department of the Communist Party of China (中共中央对外联络部部长) and President (朝鲜民主主义人民共和國主席)","Goodwill Visit","http://www.ziliaoku.org/rmrb/1987-03-11-6#755796"
"1987/05/21 - 1987/05/25","Deng Xiaoping/Kim Il-sung","China","Kim Il-sung (金日成) and Li Xiannian (李先念)","President (朝鲜民主主义人民共和國主席) and President (中华人民共和国主席)","Summit Meeting: Official friendly visit","http://www.ziliaoku.org/rmrb/1987-05-21-4#762552"
"1987/10/06","Deng Xiaoping/Kim Il-sung","China","Yang Hyong-sop (杨亨燮) and Zhao Ziyang (赵紫阳)","Chairman of the Standing Committee of the Supreme People's Assembly (朝鲜最高人民会议议长) and Acting General Secretary of Communist Party of China (中共中央代理总书记)","Goodwill Visit: Supreme People's Assembly delegation","http://www.ziliaoku.org/rmrb/1987-10-07-1#775127"
"1987/11/09 - 1987/11/14","Deng Xiaoping/Kim Il-sung","China","Ri Kun-mo (李根模) and Zhao Ziyang (赵紫阳)","Premier (朝鲜民主主义人民共和国政务院总理) and Premier (中华人民共和国国务院总理)","State Visit: Official friendly visit","http://www.ziliaoku.org/rmrb/1987-11-10-1#778019"
"1987/11/28","Deng Xiaoping/Kim Il-sung","North Korea","Song Jian (宋健) and Park Song-chol (朴成哲)","State Councilor and Director of National Commission on Science and Technology (国务委员兼国家科委主任) and Vice President (朝鲜国家副主席)","Goodwill Visit: Technology delegation","http://www.ziliaoku.org/rmrb/1987-12-02-6#780049"
"1988/05/14","Deng Xiaoping/Kim Il-sung","China","Kim Bok-sin (金福信) and Zhao Ziyang (赵紫阳)","Member of Politburo of Workers' Party of Korea (朝鲜劳动党中央政治局候补委员) and General Secretary of Communist Party of China (中国共产党中央委员会总书记)","Goodwill Visit: Workers' Party of Korea and government delegation","http://www.ziliaoku.org/rmrb/1988-05-14-1#795126"
"1988/09/07 - 1988/09/11","Deng Xiaoping/Kim Il-sung","North Korea","Yang Shangkun (杨尚昆) and Kim Il-sung (金日成)","President (中华人民共和国主席) and President (朝鲜民主主义人民共和國主席)","State Visit: 40th anniversary of the founding of the Democratic People's Republic of Korea","http://www.ziliaoku.org/rmrb/1988-09-11-1#806801"
"1988/11/03 - 1988/11/07","Deng Xiaoping/Kim Il-sung","China","Kim Yong-nam (金永南) and Zhao Ziyang (赵紫阳)","Vice Premier and Minister of Foreign Affairs (朝鲜民主主义人民共和国政务院副总理兼外长) and General Secretary of Communist Party of China (中国共产党中央委员会总书记)","Goodwill Visit (official)","http://www.ziliaoku.org/rmrb/1988-11-06-1#812008"
"1989/04/24 - 1989/04/29","Deng Xiaoping/Kim Il-sung","North Korea","Zhao Ziyang (赵紫阳) and Kim Il-sung (金日成)","General Secretary of Communist Party of China (中国共产党中央委员会总书记) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","State Visit: Official friendly visit","http://www.ziliaoku.org/rmrb/1989-04-24-1#827845"
