,CN: Outward Direct Investment: ytd,CN: Outward Direct Investment: ytd: Financial,CN: Outward Direct Investment: ytd: non Financial,CN: Outward Direct Investment,CN: Outward Direct Investment: Financial,CN: Outward Direct Investment: non Financial,CN: Outward Direct Investment: accumulation,CN: Outward Direct Investment: accumulation: Financial,CN: Outward Direct Investment: accumulation: non Financial
Region,China,China,China,China,China,China,China,China,China
Subnational,,,,,,,,,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn
Source,Ministry of Commerce,Ministry of Commerce,Ministry of Commerce,Ministry of Commerce,Ministry of Commerce,Ministry of Commerce,Ministry of Commerce,Ministry of Commerce,Ministry of Commerce
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active
Series ID,259798001 (COCJID),259798101 (COCJIE),259798201 (COCJIF),143300101 (COCDMB),143300201 (COCDMC),116203801 (COCBMD),143300301 (COCDMD),143300401 (COCDME),116203901 (COCBME)
SR Code,SR4602113,SR4602119,SR4602114,SR1904220,SR1904217,SR4602116,SR1904222,SR1904221,SR4602112
Mnemonic,,,,,,,,,
Function Description,,,,,,,,,
First Obs. Date,Dec-08,Dec-08,Jun-08,Dec-06,Dec-06,Dec-02,Dec-06,Dec-06,Dec-02
Last Obs. Date,Dec-20,Dec-20,Dec-20,Dec-20,Dec-20,Dec-20,Dec-19,Dec-19,Dec-19
Last Update Time,21/01/2021,21/01/2021,21/01/2021,21/01/2021,21/01/2021,21/01/2021,4/11/20,4/11/20,4/11/20
Series remarks,,,,,,,,,
Suggestions,,,,,,,,,
Mean,78917.25416,9688.714912,58055.30643,102355.2279,13745.234,71182.40516,850054.1617,114360.2245,581380.1039
Variance,2286391412,55120745.17,1554977819,2625305776,50104073.17,2829414674,5.2802E+11,6212963859,4.1078E+11
Standard Deviation,47816.22541,7424.334662,39433.20706,51237.73781,7078.423071,53192.24261,726649.9965,78822.35634,640921.4383
Skewness,0.650422204,0.711056177,0.981405288,-0.001483579,-0.18673385,0.287179607,0.7763749,0.350610405,1.124184236
Kurtosis,-0.308674487,-0.95442341,0.681677219,-0.84439681,-1.047584385,-0.877433036,-0.792933865,-1.165820344,-0.041661144
Coefficient Variation,0.605903309,0.766286833,0.679235189,0.500587404,0.514972904,0.747266723,0.85482788,0.689246254,1.102413781
Min,14452,1220,3699,21163.97,1667.8,2701,90630.91,15605.37,29920
Max,196149.43,24245.53,181231.34,196149.43,24245.53,181231.34,2198880.69,254534.42,1944346.27
Median,68811.31,6147.693762,48190,107843.71,14918.09,68583.5,596209.49,106766.6,309672.405
No. of Obs,29,29,51,15,15,19,14,14,18
Dec-02,,,,,,2701,,,29920
Dec-03,,,,,,2854.65,,,33222.22
Dec-04,,,,,,5497.99,,,44777.26
Dec-05,,,,,,12261.17,,,57205.62
Dec-06,,,,21163.97,3529.99,17633.97,90630.91,15605.37,75025.55
Dec-07,,,,26506.09,1667.8,24838.29,117910.5,16719.91,101190.59
Jun-08,,,25673,,,,,,
Sep-08,,,32706,,,,,,
Dec-08,55907.17,14048,41859.17,55907.17,14048,41859.17,183970.71,36693.88,147276.83
Mar-09,,,3699,,,,,,
Jun-09,14452,2052,12400,,,,,,
Sep-09,,,32870,,,,,,
Dec-09,56528.99,8733.74,47795.25,56528.99,8733.74,47795.25,245755.38,45994.03,199761.35
Mar-10,,,7520,,,,,,
Jun-10,22400,4560,17840,,,,,,
Sep-10,,,36222,,,,,,
Dec-10,68811.31,8628.91,60182.4,68811.31,8628.91,60182.4,317210.59,55253.21,261957.38
Mar-11,,,8510,,,,,,
Jun-11,26200,2300,23900,,,,,,
Sep-11,44570,3820,40750,,,,,,
Dec-11,74654.04,6070.54,68583.5,74654.04,6070.54,68583.5,424780.67,67393.24,357387.43
Mar-12,,,16550,,,,,,
Jun-12,,,35420,,,,,,
Sep-12,,,52520,,,,,,
Dec-12,87803.53,10070.84,77732.69,87803.53,10070.84,77732.69,531940.58,96453.37,435487.21
Mar-13,,,23832,,,,,,
Jun-13,,,45570,,,,,,
Sep-13,,,61640,,,,,,
Dec-13,107843.71,15105.32,92739.38,107843.71,15105.32,92739.38,660478.4,117079.83,543400.21
Mar-14,,,19900,,,,,,
Jun-14,,,43340,,,,,,
Sep-14,,,74960,,,,,,
Dec-14,123119.86,15917.82,107202.04,123119.86,15917.82,107202.04,882642.42,137624.85,745017.57
Mar-15,,,25790,,,,,,
Jun-15,,,56000,,,,,,
Sep-15,,,87300,,,,,,
Dec-15,145667.15,24245.53,121421.62,145667.15,24245.53,121421.62,1097864.59,159660.1,938204.49
Mar-16,,,40090,,,,,,
Jun-16,,,88860,,,,,,
Sep-16,,,134220,,,,,,
Dec-16,196149.43,14918.09,181231.34,196149.43,14918.09,181231.34,1357390.45,177342.45,1180048
Mar-17,24285.71429,3745.714286,20540,,,,,,
Jun-17,52996.60441,4806.604414,48190,,,,,,
Sep-17,84177.69376,6147.693762,78030,,,,,,
Dec-17,158288.3,18785.44,139502.86,158288.3,18785.44,139502.86,1809036.52,202793.04,1606243.48
Mar-18,28220,2720,25500,,,,,,
Jun-18,62430,5250,57180,,,,,,
Sep-18,89060,7040,82020,,,,,,
Dec-18,143037.3081,21717.2,121320.1081,143037.3081,21717.2,121320.1081,1982265.853,217895.4434,1764370.41
Mar-19,26430,1220,25210,,,,,,
Jun-19,57410,3610,53800,,,,,,
Sep-19,87020,6030,80990,,,,,,
Dec-19,136907.56,19949.29,116958.27,136907.56,19949.29,116958.27,2198880.69,254534.42,1944346.27
Mar-20,25680,1460,24220,,,,,,
Jun-20,54900,3400,51500,,,,,,
Sep-20,100710,21830,78880,,,,,,
Dec-20,132940,22790,110150,132940,22790,110150,,,